pos,conc_average,conc_SE_average,conc_CV_average,conc_CV_SE_average
0,0.413869104306333,0.00232875482417048,0.177934745064539,0.00449528302224306
2.45,0.413763527306592,0.00232257754352562,0.177508035271015,0.00448727079098827
4.9,0.365609314036066,0.00233740141969962,0.202169693402089,0.00450320408602523
7.35,0.318497124465022,0.00200505251149627,0.199076609411131,0.00497763679532344
9.8,0.278489896585539,0.00180670015753488,0.205152417263381,0.00485821390725933
12.25,0.246120781264999,0.00164800069288416,0.211743020977917,0.00571780721576409
14.7,0.214451621326558,0.00144737656923987,0.213428397623944,0.00538991241196078
17.15,0.188952928144829,0.00131080415169633,0.219373508866087,0.00597077737421498
19.6,0.165787882415607,0.00117532753220696,0.224184780233916,0.00586958017531903
22.05,0.145222391890188,0.00104822596729793,0.22825554076407,0.00670720887173434
24.5,0.12721868446996,0.00091519391558279,0.227489954484859,0.00619797479959307
26.95,0.11091256399702,0.00082238469530555,0.23447377432362,0.00737695760450033
29.4,0.0970668275129293,0.000712166759162958,0.232012221942204,0.0064171634078159
31.85,0.0852488684169786,0.000641475859231298,0.23795327924616,0.00738161258541864
34.3,0.0754061926612013,0.000566849444000204,0.237717257718414,0.00621222888131119
36.75,0.0658814501654136,0.000500670712299335,0.240319514010327,0.00703184884337018
39.2,0.0579720296631667,0.000455700683002106,0.248577132447136,0.00672523419585778
41.65,0.0506250747692358,0.000398738009265225,0.249070308479954,0.00648832844735919
44.1,0.0444588408430957,0.000353230585242024,0.251246583900201,0.00631269456984212
46.55,0.038843872612568,0.000315741416166627,0.257044923582259,0.00792072888069389
49,0.0341087672945147,0.000274392629357109,0.254393738254619,0.00621220476996219
51.45,0.0299362883909482,0.000245971927743002,0.259828981459652,0.00733896832998992
53.9,0.0263173078898677,0.000218957112731927,0.263098030020662,0.006440316712134
56.35,0.0230546869542006,0.000192026232830659,0.263391243374071,0.0071878166491086
58.8,0.0201980447014032,0.000171376664745393,0.268313396870972,0.00762723324649452
61.25,0.0177094738312478,0.000149210818845825,0.26643707406994,0.0072596269235168
63.7,0.0154563318109744,0.000131692668123146,0.269435715735672,0.00654983662328748
66.15,0.0136078220285891,0.000121734246205888,0.282894269520537,0.00837936433817122
68.6,0.0119601038102003,0.000106129154223332,0.280607809780697,0.00730274561944809
71.05,0.0104602057784209,9.39733059705135e-05,0.284095449379949,0.00758161053342768
73.5,0.00914588176541117,8.17103955474584e-05,0.282521647524965,0.00760118653888021
75.95,0.0080125824379951,7.45444768996462e-05,0.294200198017149,0.0095465928722014
78.4,0.0070363171005619,6.36961431590374e-05,0.286264657592856,0.007897691444008
80.85,0.00618807419738075,5.87343613413941e-05,0.30014888773112,0.00920387667720412
83.3,0.00543351550839341,5.13953940623826e-05,0.299118510341896,0.00782872877978751
85.75,0.00476287306746598,4.48537344946143e-05,0.297803364814227,0.00785497465877703
88.2,0.00416865167807523,3.97258176891322e-05,0.30135419198245,0.00853790000417385
90.65,0.00365203080769388,3.54752410765048e-05,0.307178576119838,0.00897540818369119
93.1,0.00320073519897462,3.06205686674177e-05,0.302526557865978,0.00854548268832666
95.55,0.00281089521750538,2.74223063259018e-05,0.308502950037579,0.00824050931279106
98,0.00247565827757189,2.46171737710507e-05,0.314447027596345,0.0093125511176552
100.45,0.00215667473556866,2.12546783810955e-05,0.311651977510089,0.00845535180458114
102.9,0.00189845618008397,1.87567569651449e-05,0.312433197828469,0.00836725855324822
105.35,0.0016646275737986,1.66854092314834e-05,0.316971181386132,0.00855146011735923
107.8,0.00145628450949035,1.46976054293437e-05,0.319154045822054,0.00879046222746859
110.25,0.00127677336622353,1.29546038737526e-05,0.320856116755232,0.00856868861866899
112.7,0.00111915597919087,1.1591091695233e-05,0.327516905653303,0.00876725782376989
115.15,0.000983092935342088,1.01781624163668e-05,0.327397079907224,0.00917627728786908
117.6,0.000867735399397623,9.2547628893716e-06,0.337270208816323,0.00948862086167481
120.05,0.00075858770463478,8.13425777459648e-06,0.33908777436673,0.0096838530588389
122.5,0.000666278437964167,7.20234021558159e-06,0.341836059324659,0.00918967538422802
124.95,0.000584185764823961,6.41590303517184e-06,0.347301630056739,0.00998959889253823
127.4,0.000514305441264571,5.57549439696108e-06,0.342816932532395,0.00934803194338897
129.85,0.00044659611601576,4.92570943271426e-06,0.348781826374041,0.00939616927127847
132.3,0.000392483951944361,4.37978039471214e-06,0.352882751766754,0.0099984758249289
134.75,0.000345188226398153,3.84732884450673e-06,0.352454722551051,0.00941176596167993
137.2,0.000301424992447952,3.32475383888872e-06,0.348803020774475,0.00829739954238178
139.65,0.000264895015853671,3.04209640033347e-06,0.363160984960445,0.0101935309368243
142.1,0.000233011006764646,2.64520193539461e-06,0.358990036697344,0.00912374069069193
144.55,0.000203350690152101,2.25620623794751e-06,0.350859423081245,0.0106969102975177
147,0.0001788369236548,2.09079162421118e-06,0.369703499153918,0.0114667184333237
149.45,0.000157657873132077,1.82947899794817e-06,0.366954117166868,0.0107237545917278
151.9,0.000138171632790365,1.62724404727864e-06,0.372420691167373,0.0112687363670706
154.35,0.000121109562703063,1.42460750811504e-06,0.371977604152177,0.0102157840758229
156.8,0.000105695521070361,1.25186476610325e-06,0.374542264734652,0.0121393279723593
159.25,9.2986135610362e-05,1.12593813922002e-06,0.382909667233257,0.0108565847181117
161.7,8.1934423075442e-05,9.90922331737351e-07,0.382448723624955,0.011664767450935
164.15,7.1332317180206e-05,8.51125603305182e-07,0.377317825597873,0.0110786284018838
166.6,6.25478164135828e-05,7.69684763780491e-07,0.389135396475083,0.012898795436321
169.05,5.48975317256019e-05,6.71356500930049e-07,0.386723336763394,0.0115116923752868
171.5,4.80823310550753e-05,5.92465166414917e-07,0.389652356504058,0.0103879421608063
173.95,4.21142613960957e-05,5.18947202654054e-07,0.389667322032608,0.0115890007351942
176.4,3.71004573662036e-05,4.65606044097302e-07,0.396861843819079,0.0142176205033203
178.85,3.21709974628823e-05,3.96652883927204e-07,0.389893585093702,0.0112186934109179
181.3,2.86425691051596e-05,3.60947042746665e-07,0.39850292953505,0.0136316649444776
183.75,2.47315988517208e-05,3.05457351066717e-07,0.390569555653811,0.0103532530072215
186.2,2.19600274466291e-05,2.80553364216252e-07,0.404001150864828,0.0117416247654479
188.65,1.8994087994972e-05,2.37996823700283e-07,0.396234891076457,0.0102484462001081
191.1,1.67610125566183e-05,2.14168666744385e-07,0.404069138464065,0.0117667025723104
193.55,1.46467968802165e-05,1.87118481131707e-07,0.403993171699317,0.010761244248621
196,1.28912698249852e-05,1.6680716119946e-07,0.409184329068036,0.0118883233408016
198.45,1.13320181014145e-05,1.45297825217443e-07,0.405463583488998,0.01105653871519
200.9,9.97651423994496e-06,1.29068763762445e-07,0.409112099131109,0.0123177771541796
203.35,8.76785253218367e-06,1.14312829936722e-07,0.41228899214788,0.0112143719254526
205.8,7.70099488041294e-06,1.01629257529624e-07,0.41732261311177,0.0123041550933673
208.25,6.78748519333521e-06,8.96341070323058e-08,0.417603760720873,0.0111738484483481
210.7,5.96224649775437e-06,7.91307143999549e-08,0.419696318282697,0.0115814371362012
213.15,5.27886887342483e-06,6.92279585258387e-08,0.414706316740338,0.0108829347246225
215.6,4.64686596690926e-06,6.25310476504707e-08,0.425535267124414,0.0128924424392986
218.05,4.12411572151469e-06,5.49392151029614e-08,0.421261342597516,0.0114353487789212
220.5,3.67653252746889e-06,4.90138131305409e-08,0.421580076184132,0.0117645125140148
222.95,3.290343699843e-06,4.35664223825074e-08,0.418707395948444,0.0116560000991433
225.4,2.96718932045116e-06,3.98888984795407e-08,0.425115349671711,0.0114667156805079
227.85,2.6875767724683e-06,3.61370638258312e-08,0.425198754547775,0.0116732714523313
230.3,2.45624948510124e-06,3.32192559985302e-08,0.427678506474014,0.011805877750472
232.75,2.25963385191989e-06,3.09029603860268e-08,0.432476001272375,0.0120193764339605
235.2,2.11793567473568e-06,2.90141051305262e-08,0.433207946674254,0.0118631913398932
237.65,1.99474949273793e-06,2.74162766248741e-08,0.434630410542614,0.0122084767795095
240.1,1.92350772515406e-06,2.6455880282269e-08,0.434938930073742,0.0120279908808979
242.55,1.86571216398035e-06,2.57604053920741e-08,0.436624448620441,0.0122496324201118
245,1.86531981656295e-06,2.5753990771753e-08,0.436607540189872,0.0122579191112471
