pos,conc_cilium,conc_SE_cilium,conc_CV_cilium,conc_CV_SE_cilium
0,0.412626988232943,0.00232824812138873,0.178431543053605,0.00447696001352533
2.45,0.412519949221024,0.00232197999739468,0.177997342600875,0.00447151476847163
4.9,0.364333830962231,0.00232878736551723,0.202129795133435,0.00450396033572752
7.35,0.317526917794406,0.00200087527392951,0.199268875328152,0.00494974762498474
9.8,0.277615055963733,0.00180228593211286,0.205296089600443,0.00481237658049476
12.25,0.245365121064387,0.00164407424899726,0.211889091925901,0.00572189261863903
14.7,0.213750040813336,0.0014439825370573,0.213626799846892,0.0054074181305956
17.15,0.188333968062717,0.00130775532408112,0.219582557987141,0.00602693531040862
19.6,0.165243447941093,0.00117224658759878,0.22433380823025,0.00594756002381195
22.05,0.14474688316334,0.00104537641902397,0.228382844873827,0.00668505855393152
24.5,0.12680122319944,0.000913036194825055,0.227700797276943,0.00616361042862792
26.95,0.110550606267605,0.00081989532074248,0.234529392827065,0.00729296748047825
29.4,0.096750991022148,0.000710209990928419,0.232130044830983,0.00638495899701067
31.85,0.0849706334784579,0.000639435269106088,0.237973024778094,0.00740563995123265
34.3,0.0751628347293357,0.000565392608693405,0.237874000113737,0.0061669622005459
36.75,0.0656707447993186,0.000499497851042018,0.240525808025962,0.0070178082268381
39.2,0.0577813671999467,0.000454639727759974,0.248816724870042,0.00670050068815294
41.65,0.0504573272221939,0.000397611169059678,0.24919213651844,0.00647765065453457
44.1,0.0443098853277107,0.000352315338725197,0.251438006834243,0.00625270838388807
46.55,0.0387151550918228,0.000314966152390581,0.257266288886519,0.0078621082652863
49,0.0339950218166548,0.000273636054678783,0.254541146463803,0.00623379444450582
51.45,0.0298376278919227,0.000245162970262137,0.259830770317487,0.0073592368492222
53.9,0.0262325101869366,0.000218287955832989,0.263141850053769,0.00650714750897787
56.35,0.0229799381950328,0.000191482461915215,0.263499712875386,0.00718447439448765
58.8,0.0201323635401779,0.000170863105796363,0.268382091019031,0.00762091769918358
61.25,0.0176519701142156,0.000148814278479575,0.266594643716882,0.00725087832425671
63.7,0.0154058582558936,0.000131374645990921,0.26966566953236,0.00660341362551745
66.15,0.0135624550456552,0.000121429006764402,0.283128853953707,0.00836787132744959
68.6,0.0119217086312249,0.000105849857182907,0.280770692402947,0.00743250241383842
71.05,0.01042663031814,9.37461682136883e-05,0.284321400513046,0.00762380758969508
73.5,0.00911627769707883,8.14963114124168e-05,0.282696483728432,0.00766913158641141
75.95,0.00798632102058085,7.43235617979758e-05,0.294292877148568,0.00957435375647649
78.4,0.00701307706949878,6.35162531308146e-05,0.286402140376777,0.00802050235659242
80.85,0.00616777294213294,5.85689718479974e-05,0.300288861136161,0.00921522530960168
83.3,0.00541541056890881,5.12295948526059e-05,0.299150362249479,0.00776642420181786
85.75,0.0047469287868884,4.47106727227434e-05,0.297850605875447,0.00784593034333222
88.2,0.00415480626768297,3.9602621046584e-05,0.301420754064586,0.00849402252193099
90.65,0.00363996746531964,3.53591216449371e-05,0.307187801886416,0.00887739818878169
93.1,0.00319028096080064,3.05363917113663e-05,0.302683526991837,0.00840215563519477
95.55,0.00280157940957248,2.73397314276892e-05,0.308596720954549,0.0081273930108502
98,0.00246733886138225,2.45337496839499e-05,0.314438076423173,0.0092108046753234
100.45,0.00214938759592087,2.11992341094083e-05,0.311892859920129,0.00836843248616779
102.9,0.00189206747558309,1.87088832758199e-05,0.312688021930035,0.00837643785684615
105.35,0.00165900235231035,1.66441125136982e-05,0.31725877363645,0.00848180755180484
107.8,0.00145135431998347,1.46599307825067e-05,0.319417326112783,0.00882236809502477
110.25,0.00127249023635898,1.29198743954736e-05,0.32107303463397,0.00851402502876086
112.7,0.00111537034475576,1.15637136075696e-05,0.327852299298938,0.00870819647801159
115.15,0.000979794978608851,1.01556649624901e-05,0.327772984513916,0.00913038296433853
117.6,0.000864800645233102,9.23327333314697e-06,0.337628957061762,0.00937402169320567
120.05,0.000755996452759036,8.1122003830203e-06,0.339327386423743,0.00956819313164232
122.5,0.000663892047616066,7.18191066312992e-06,0.342091695914919,0.00910848703432024
124.95,0.000582085333502032,6.39806326472285e-06,0.347585678007921,0.00996635602607761
127.4,0.000512446783798286,5.56069662712106e-06,0.343147176933798,0.00934258265595287
129.85,0.000445032118173147,4.91069315465512e-06,0.348940551137162,0.00937657494396424
132.3,0.000391064181812093,4.36597240001327e-06,0.353047341781552,0.0099975195225099
134.75,0.000343934952736277,3.83442909603482e-06,0.352552986354607,0.00950768858395318
137.2,0.000300356902501369,3.3140959701014e-06,0.348921285398392,0.00831472295913478
139.65,0.000263933086708372,3.03112091745031e-06,0.363169547329746,0.0102427253810207
142.1,0.000232137817270413,2.63610965091588e-06,0.359101793790668,0.00913610375073786
144.55,0.000202586203836862,2.2495295606563e-06,0.351141239671003,0.0107743857472834
147,0.000178150722654634,2.08412534074056e-06,0.369944219580366,0.0115311294797324
149.45,0.00015705807022057,1.82336788391407e-06,0.367125071476573,0.0107343781107593
151.9,0.000137660917013664,1.62191044551442e-06,0.37257714679722,0.0113450301435455
154.35,0.000120668030358935,1.42054655775646e-06,0.372274465031055,0.0102279947507902
156.8,0.000105283369635815,1.24750743957457e-06,0.374699719500479,0.0121146838557974
159.25,9.26177878752733e-05,1.12194449928525e-06,0.383068966278533,0.0108458309966174
161.7,8.16126154706987e-05,9.87580722938431e-07,0.382661974469178,0.011599573055473
164.15,7.10476863471469e-05,8.479314394494e-07,0.37740773643545,0.011071803045594
166.6,6.22937970451181e-05,7.66776702190801e-07,0.389245952356917,0.0128034346087284
169.05,5.46793695639729e-05,6.68878554860645e-07,0.386833229473658,0.0114549752483704
171.5,4.78893014268098e-05,5.90474481422684e-07,0.389908435886502,0.0103469038379612
173.95,4.19372708577167e-05,5.17206303670858e-07,0.389999135934633,0.0115254608301702
176.4,3.69481568822865e-05,4.63999243191281e-07,0.397122499439821,0.0140413339915407
178.85,3.20386052647726e-05,3.95256860140885e-07,0.390126826221781,0.0111505305504118
181.3,2.85230312242762e-05,3.59645549894442e-07,0.398730092558396,0.013466508384055
183.75,2.46272110690681e-05,3.04303158074483e-07,0.390743018362428,0.0103327340866824
186.2,2.18691439172263e-05,2.7939023252638e-07,0.403998205934105,0.0116730556344997
188.65,1.89182520670503e-05,2.37003813032586e-07,0.39616337739416,0.010135665920367
191.1,1.66943592942851e-05,2.1320254296446e-07,0.403852359244717,0.0116401805410037
193.55,1.45881094699494e-05,1.86191670109566e-07,0.403609364263267,0.0107657973474325
196,1.28420979697357e-05,1.66061040054625e-07,0.408913807094929,0.0118937443363449
198.45,1.12910231448231e-05,1.44706338878051e-07,0.405279146849173,0.0111539099831956
200.9,9.94227925123293e-06,1.28516869767673e-07,0.408765451011329,0.0123004868007029
203.35,8.7375881146433e-06,1.13836836943713e-07,0.411994341742934,0.0112673422566835
205.8,7.67452629236256e-06,1.01164328165052e-07,0.416846177568835,0.012352568132001
208.25,6.76552985715498e-06,8.92404068482154e-08,0.417118763672296,0.0112598862802826
210.7,5.94488848904451e-06,7.87933591308312e-08,0.419127254965717,0.0115007813628517
213.15,5.2641471281152e-06,6.89141501342458e-08,0.413980977611927,0.010869338200241
215.6,4.635070738046e-06,6.22446830683697e-08,0.424664437406938,0.0127855416885716
218.05,4.11476703284117e-06,5.475693835541e-08,0.420817610130819,0.0114349392809921
220.5,3.66821308630393e-06,4.88503570638669e-08,0.421127097035593,0.0117818438183921
222.95,3.28347925838449e-06,4.34188511121383e-08,0.418161505212756,0.0116930070576123
225.4,2.96171804102939e-06,3.97661272749872e-08,0.424589829859016,0.0115494653573618
227.85,2.68329282569314e-06,3.60308274365e-08,0.424625592812045,0.0117450164267157
230.3,2.45244782626364e-06,3.31372880303637e-08,0.427284546218596,0.0119717497444222
232.75,2.25682279714179e-06,3.08388458138034e-08,0.432116306631941,0.0121240159789724
235.2,2.11490019954975e-06,2.89402674065234e-08,0.432725672438025,0.011999421944089
237.65,1.99200978180467e-06,2.73446374321671e-08,0.434090920973325,0.0123931437600832
240.1,1.92077808420812e-06,2.63936818049809e-08,0.434533020902796,0.0122217213806246
242.55,1.86400368092691e-06,2.57161036378737e-08,0.436273065727982,0.0124351540236199
245,1.86361133350951e-06,2.57096518654297e-08,0.436255437402016,0.012443514383422
